Type,date,id,price
vietnamese,2013-05-12 17:44:59.287616,85,11
japanese,2013-05-13 02:21:03.792408,86,15
german,2013-05-13 02:58:40.647155,87,7
japanese,2013-05-13 04:46:31.062743,88,8
chinese,2013-05-13 11:04:41.958535,89,9
japanese,2013-05-13 11:30:58.282727,90,9
mexican,2013-05-13 15:24:28.750610,91,15
german,2013-05-13 17:10:10.788656,92,14
vietnamese,2013-05-13 19:10:26.715328,93,14
mexican,2013-05-13 22:35:44.906882,94,11
italian,2013-05-13 23:55:07.087237,95,6
chinese,2013-05-14 03:10:11.466521,96,5
mexican,2013-05-14 03:48:29.765860,97,9
vietnamese,2013-05-14 11:13:37.179182,98,8
mexican,2013-05-14 20:23:27.016479,99,13
chinese,2013-05-15 02:05:43.557843,100,9
chinese,2013-05-15 17:24:49.875206,101,12
vietnamese,2013-05-15 19:43:43.325871,102,9
vietnamese,2013-05-16 11:04:09.257679,103,10
chinese,2013-05-16 12:56:52.105162,104,5
german,2013-05-16 17:16:10.850385,105,13
mexican,2013-05-16 20:36:30.991175,106,13
vietnamese,2013-05-16 21:28:37.833425,107,14
italian,2013-05-17 06:09:07.833429,108,12
vietnamese,2013-05-18 01:23:09.623523,109,6
french,2013-05-19 14:32:41.981546,110,11
mexican,2013-05-19 19:16:02.564153,111,5
vietnamese,2013-05-19 23:51:17.823783,112,14
german,2013-05-20 00:16:28.167197,113,12
french,2013-05-20 00:59:43.722126,114,7
vietnamese,2013-05-20 05:31:37.672874,115,6
japanese,2013-05-20 06:02:43.646507,116,10
mexican,2013-05-20 10:38:30.899466,117,6
vietnamese,2013-05-20 11:53:21.771276,118,6
mexican,2013-05-20 17:19:22.593973,119,5
german,2013-05-21 04:06:59.050491,120,7
vietnamese,2013-05-21 08:38:42.857882,121,15
french,2013-05-21 08:59:26.745912,122,10
german,2013-05-21 10:05:34.205201,123,9
vietnamese,2013-05-21 12:19:34.794431,124,14
italian,2013-05-21 13:21:55.488720,125,11
vietnamese,2013-05-21 14:27:49.523182,126,15
german,2013-05-21 18:04:08.452202,127,8
japanese,2013-05-21 21:42:21.094665,128,6
chinese,2013-05-22 09:14:02.194606,129,12
mexican,2013-05-22 09:52:35.152000,130,6
japanese,2013-05-22 11:03:38.921725,131,13
french,2013-05-22 13:08:53.111380,132,15
japanese,2013-05-22 13:51:46.175599,133,10
french,2013-05-22 16:14:34.805733,134,13
mexican,2013-05-23 06:54:20.915403,135,9
vietnamese,2013-05-23 11:53:36.530422,136,12
vietnamese,2013-05-23 16:03:26.645688,137,10
italian,2013-05-24 01:25:10.806949,138,10
italian,2013-05-24 01:58:17.539105,139,13
japanese,2013-05-24 06:37:01.974436,140,7
italian,2013-05-24 11:32:49.354642,141,10
french,2013-05-24 12:08:38.249103,142,6
chinese,2013-05-24 19:05:36.249570,143,7
german,2013-05-24 23:02:07.647909,144,6
chinese,2013-05-25 00:14:14.282578,145,5
japanese,2013-05-25 03:23:57.396112,146,14
german,2013-05-25 04:20:34.908764,147,12
french,2013-05-25 06:01:55.752212,148,10
japanese,2013-05-25 07:05:47.825817,149,14
chinese,2013-05-25 10:15:39.175212,150,9
italian,2013-05-25 12:50:43.249538,151,10
japanese,2013-05-25 18:50:32.165356,152,6
vietnamese,2013-05-25 20:45:17.446961,153,9
french,2013-05-26 04:59:05.542841,154,15
german,2013-05-26 06:22:37.662139,155,13
chinese,2013-05-26 07:45:08.531344,156,15
italian,2013-05-26 07:57:47.003175,157,5
mexican,2013-05-26 08:13:28.172961,158,12
vietnamese,2013-05-26 11:45:00.883617,159,15
japanese,2013-05-26 11:54:04.971284,160,8
japanese,2013-05-26 23:09:11.103015,161,10
german,2013-05-27 01:54:07.259464,162,15
german,2013-05-27 06:54:51.672816,163,8
italian,2013-05-27 07:50:23.835845,164,10
chinese,2013-05-27 08:52:24.300120,165,9
chinese,2013-05-27 11:57:24.224478,166,8
chinese,2013-05-27 12:28:24.801970,167,7
vietnamese,2013-05-27 15:44:52.524528,168,9
mexican,2013-05-27 18:48:30.568546,169,7
mexican,2013-05-27 20:43:46.799604,170,11
french,2013-05-28 01:48:16.518670,171,7
vietnamese,2013-05-28 06:50:02.476024,172,12
japanese,2013-05-28 11:50:06.686421,173,7
german,2013-05-28 13:16:52.524294,174,5
german,2013-05-28 16:25:32.851580,175,11
chinese,2013-05-28 16:37:00.679855,176,8
mexican,2013-05-28 16:53:26.709712,177,11
french,2013-05-28 17:59:28.816569,178,11
japanese,2013-05-28 19:36:52.874155,179,13
japanese,2013-05-28 22:11:26.202705,180,8
chinese,2013-05-29 01:22:23.295924,181,10
vietnamese,2013-05-29 09:46:22.868482,182,6
italian,2013-05-30 07:52:24.970154,183,10
french,2013-05-30 09:52:02.737699,184,10
chinese,2013-05-30 13:34:23.721483,185,13
vietnamese,2013-05-30 16:27:15.021667,186,8
german,2013-05-30 16:42:17.839784,187,10
mexican,2013-05-30 21:23:40.419146,188,5
italian,2013-05-30 23:05:10.355260,189,7
mexican,2013-05-30 23:28:19.873407,190,9
mexican,2013-05-31 00:18:01.041391,191,12
german,2013-05-31 00:27:25.697434,192,12
vietnamese,2013-05-31 03:05:07.975537,193,10
japanese,2013-05-31 04:23:58.269028,194,7
vietnamese,2013-05-31 04:47:51.700566,195,12
japanese,2013-05-31 15:08:29.097809,196,7
french,2013-05-31 22:11:15.577800,197,10
german,2013-05-31 23:15:10.510766,198,8
german,2013-06-01 00:03:34.344481,199,7
french,2013-06-01 05:24:07.096580,200,7
german,2013-06-01 07:05:26.756161,201,13
italian,2013-06-01 11:29:46.472968,202,6
french,2013-06-01 12:00:56.244960,203,9
mexican,2013-06-01 13:36:07.133899,204,12
italian,2013-06-01 13:55:06.587859,205,10
german,2013-06-01 15:36:01.587240,206,15
italian,2013-06-02 03:57:36.577980,207,7
german,2013-06-02 06:17:19.631918,208,12
german,2013-06-02 12:03:23.208099,209,9
chinese,2013-06-02 15:38:14.154690,210,6
french,2013-06-03 01:20:17.707712,211,12
italian,2013-06-03 04:34:18.439411,212,5
german,2013-06-03 07:23:48.728492,213,13
mexican,2013-06-03 08:44:18.712442,214,13
chinese,2013-06-03 08:54:28.693266,215,9
mexican,2013-06-03 11:49:43.666588,216,10
mexican,2013-06-03 14:59:53.747914,217,12
french,2013-06-03 15:28:32.222425,218,12
french,2013-06-03 16:00:33.149055,219,12
japanese,2013-06-03 16:36:35.201965,220,6
italian,2013-06-03 20:42:33.800262,221,6
italian,2013-06-03 23:03:02.260359,222,11
french,2013-06-04 00:13:45.451252,223,13
japanese,2013-06-04 01:55:40.564990,224,14
french,2013-06-04 02:43:25.033678,225,8
japanese,2013-06-04 03:36:49.729823,226,11
mexican,2013-06-04 04:14:45.807515,227,12
chinese,2013-06-04 05:20:14.386289,228,7
chinese,2013-06-04 16:19:54.079140,229,7
mexican,2013-06-04 21:53:08.677814,230,15
vietnamese,2013-06-05 07:14:41.960706,231,12
italian,2013-06-05 22:32:07.035505,232,10
mexican,2013-06-06 06:40:12.724017,233,9
vietnamese,2013-06-06 08:32:59.003595,234,15
german,2013-06-06 09:04:50.397895,235,9
chinese,2013-06-06 14:42:15.972644,236,14
german,2013-06-06 17:33:54.421295,237,6
french,2013-06-06 17:39:41.910958,238,13
italian,2013-06-06 18:01:44.043752,239,15
italian,2013-06-06 20:07:12.628534,240,15
french,2013-06-07 00:06:07.854112,241,5
mexican,2013-06-07 00:54:55.446002,242,6
italian,2013-06-07 12:00:36.444073,243,8
chinese,2013-06-07 15:21:57.741773,244,15
german,2013-06-07 15:52:55.299442,245,6
vietnamese,2013-06-07 20:58:35.414052,246,11
french,2013-06-07 22:17:26.384942,247,15
vietnamese,2013-06-08 00:32:26.877887,248,11
italian,2013-06-08 06:58:36.061193,249,11
mexican,2013-06-08 11:58:04.843490,250,12
japanese,2013-06-08 13:02:24.893812,251,7
chinese,2013-06-08 16:58:50.559515,252,15
vietnamese,2013-06-08 17:21:57.189974,253,14
german,2013-06-08 23:58:13.800320,254,10
french,2013-06-09 02:31:49.688968,255,15
french,2013-06-09 03:26:32.807301,256,8
mexican,2013-06-09 07:00:11.156635,257,14
french,2013-06-09 08:25:00.482784,258,9
vietnamese,2013-06-09 09:34:59.777815,259,7
chinese,2013-06-09 11:03:42.424772,260,13
german,2013-06-09 15:08:34.672960,261,13
vietnamese,2013-06-09 18:32:05.626203,262,13
japanese,2013-06-09 21:23:49.726435,263,7
vietnamese,2013-06-10 01:08:40.553608,264,7
japanese,2013-06-10 01:22:29.091608,265,15
vietnamese,2013-06-10 06:05:34.745512,266,14
french,2013-06-10 08:10:33.675657,267,15
french,2013-06-10 09:40:05.496352,268,15
italian,2013-06-10 10:03:51.263835,269,10
german,2013-06-10 10:51:02.001774,270,9
chinese,2013-06-10 18:14:32.786636,271,14
vietnamese,2013-06-10 18:18:49.905095,272,11
french,2013-06-10 18:41:35.840693,273,6
japanese,2013-06-10 19:15:42.219337,274,13
chinese,2013-06-11 01:21:27.400896,275,9
vietnamese,2013-06-11 03:43:02.348399,276,15
german,2013-06-11 05:51:51.380726,277,8
chinese,2013-06-11 07:20:20.863451,278,13
french,2013-06-11 12:48:32.323993,279,7
vietnamese,2013-06-11 14:52:21.241520,280,11
mexican,2013-06-13 13:15:19.370933,281,8
german,2013-06-13 16:24:42.087364,282,6
mexican,2013-06-14 00:50:04.851587,283,10
chinese,2013-06-14 07:38:35.378194,284,14
japanese,2013-06-14 11:48:38.523151,285,14
french,2013-06-14 12:52:40.474809,286,8
vietnamese,2013-06-14 20:45:36.949975,287,11
mexican,2013-06-14 23:59:03.196199,288,6
vietnamese,2013-06-15 03:55:17.633460,289,5
japanese,2013-06-15 03:56:03.006921,290,14
vietnamese,2013-06-15 06:02:49.564062,291,12
chinese,2013-06-15 08:13:57.522886,292,13
japanese,2013-06-15 11:30:39.360868,293,11
italian,2013-06-15 14:29:45.894066,294,10
german,2013-06-15 16:19:34.491104,295,10
chinese,2013-06-15 16:34:50.344932,296,7
italian,2013-06-15 18:23:47.120716,297,12
chinese,2013-06-15 20:22:41.623663,298,11
german,2013-06-15 22:40:48.117876,299,13
chinese,2013-06-16 05:44:12.503873,300,10
vietnamese,2013-06-17 00:52:32.932974,301,8
german,2013-06-17 05:26:01.667808,302,8
mexican,2013-06-17 06:56:58.987150,303,10
italian,2013-06-17 07:16:01.796602,304,7
japanese,2013-06-17 07:55:11.094873,305,7
vietnamese,2013-06-17 09:51:59.245382,306,7
french,2013-06-17 19:28:44.131237,307,5
chinese,2013-06-17 22:21:55.858090,308,8
italian,2013-06-17 22:38:09.171891,309,5
vietnamese,2013-06-17 22:40:21.523296,310,9
italian,2013-06-18 05:56:47.331265,311,9
italian,2013-06-18 06:58:18.067915,312,12
japanese,2013-06-18 09:58:14.467739,313,5
german,2013-06-18 10:25:03.697633,314,14
mexican,2013-06-18 10:39:12.249267,315,5
german,2013-06-18 10:59:34.229757,316,11
japanese,2013-06-18 11:14:15.160526,317,13
mexican,2013-06-18 12:42:50.509357,318,14
japanese,2013-06-18 17:47:45.377488,319,9
german,2013-06-18 18:54:06.470512,320,15
chinese,2013-06-18 21:15:45.544689,321,8
chinese,2013-06-19 03:55:09.285288,322,6
vietnamese,2013-06-19 04:11:37.238360,323,7
chinese,2013-06-19 06:26:59.762008,324,5
japanese,2013-06-19 08:54:39.108910,325,14
french,2013-06-19 11:57:11.848354,326,5
japanese,2013-06-19 14:47:36.886062,327,5
italian,2013-06-19 16:12:08.676636,328,14
japanese,2013-06-22 05:13:02.023171,329,15
italian,2013-06-22 06:20:27.906819,330,8
chinese,2013-06-22 13:18:34.061721,331,14
italian,2013-06-22 14:49:33.543296,332,10
italian,2013-06-23 04:37:34.795093,333,13
chinese,2013-06-23 05:07:15.881073,334,15
german,2013-06-23 08:22:23.449866,335,5
italian,2013-06-23 17:44:37.317687,336,7
german,2013-06-23 18:12:16.380003,337,13
japanese,2013-06-24 00:35:37.585477,338,7
chinese,2013-06-24 08:21:27.510803,339,15
chinese,2013-06-24 08:32:00.234630,340,5
chinese,2013-06-24 09:29:23.442868,341,14
italian,2013-06-24 16:20:27.920344,342,13
german,2013-06-24 19:31:13.664589,343,14
german,2013-06-25 00:49:38.372078,344,9
french,2013-06-25 14:18:15.639326,345,8
chinese,2013-06-25 14:37:17.073227,346,11
italian,2013-06-25 20:29:06.772522,347,10
italian,2013-06-26 00:20:52.205793,348,13
chinese,2013-06-26 01:07:46.974370,349,9
chinese,2013-06-26 02:38:28.417272,350,11
chinese,2013-06-26 19:27:11.245832,351,8
mexican,2013-06-26 20:58:25.379034,352,12
mexican,2013-06-26 23:22:33.652354,353,13
german,2013-06-27 02:36:29.962927,354,9
mexican,2013-06-27 05:05:35.293492,355,6
japanese,2013-06-27 07:50:57.469240,356,14
japanese,2013-06-27 09:17:24.031364,357,6
chinese,2013-06-27 12:31:33.613595,358,11
italian,2013-06-27 13:26:59.772798,359,15
italian,2013-06-27 16:43:52.398424,360,13
french,2013-06-27 19:08:52.517948,361,5
italian,2013-06-28 03:11:08.378287,362,11
german,2013-06-28 06:37:38.518460,363,13
vietnamese,2013-06-28 11:49:50.636933,364,10
italian,2013-06-29 20:16:18.041179,365,10
german,2013-06-30 06:13:54.954626,366,10
german,2013-06-30 07:10:51.425124,367,7
german,2013-06-30 07:15:13.267899,368,14
italian,2013-06-30 08:23:52.591079,369,8
mexican,2013-06-30 17:17:51.260311,370,8
vietnamese,2013-06-30 18:23:40.741734,371,15
italian,2013-06-30 19:29:02.030570,372,11
french,2013-07-01 14:04:22.690185,373,14
japanese,2013-07-02 04:29:31.236542,374,6
vietnamese,2013-07-02 08:01:39.294585,375,15
german,2013-07-02 09:42:56.585327,376,14
vietnamese,2013-07-02 13:09:04.975010,377,8
italian,2013-07-02 13:39:06.452616,378,6
italian,2013-07-02 14:48:19.405324,379,9
german,2013-07-02 17:37:08.957706,380,6
chinese,2013-07-02 18:15:15.865663,381,7
vietnamese,2013-07-02 21:05:29.852660,382,9
italian,2013-07-04 02:11:39.610235,383,9
mexican,2013-07-04 04:13:12.297559,384,14
japanese,2013-07-04 04:42:37.890015,385,13
vietnamese,2013-07-04 05:39:20.609188,386,5
mexican,2013-07-04 08:23:50.122622,387,10
german,2013-07-04 08:49:01.558031,388,5
german,2013-07-04 08:53:26.447904,389,14
german,2013-07-04 16:41:49.896888,390,11
italian,2013-07-04 17:15:03.878996,391,7
french,2013-07-04 18:07:11.866636,392,11
vietnamese,2013-07-04 18:37:09.527839,393,6
japanese,2013-07-05 00:41:43.833934,394,5
german,2013-07-05 03:51:11.297073,395,8
french,2013-07-05 11:17:20.325926,396,6
chinese,2013-07-05 15:53:24.721552,397,12
mexican,2013-07-06 00:35:54.584106,398,14
mexican,2013-07-06 03:13:19.518105,399,14
vietnamese,2013-07-06 04:53:25.762829,400,7
french,2013-07-06 05:57:29.319743,401,6
italian,2013-07-06 06:24:49.813707,402,5
mexican,2013-07-06 11:39:49.997473,403,12
mexican,2013-07-06 12:51:54.798146,404,14
french,2013-07-06 13:56:41.826695,405,11
italian,2013-07-06 16:27:45.239224,406,13
french,2013-07-06 16:34:53.751188,407,12
chinese,2013-07-06 19:29:04.331773,408,8
japanese,2013-07-06 21:16:28.230813,409,7
german,2013-07-06 22:05:12.272749,410,10
chinese,2013-07-07 00:40:10.152754,411,13
chinese,2013-07-07 01:16:13.761417,412,15
chinese,2013-07-07 02:41:11.719319,413,5
japanese,2013-07-07 04:04:55.843971,414,8
vietnamese,2013-07-07 06:12:26.409255,415,10
german,2013-07-07 08:46:31.064598,416,10
french,2013-07-07 10:40:37.797865,417,6
mexican,2013-07-07 21:21:30.852865,418,7
chinese,2013-07-07 22:08:29.358749,419,8
mexican,2013-07-08 00:35:19.771268,420,15
vietnamese,2013-07-08 01:01:01.352861,421,12
mexican,2013-07-09 00:26:52.653623,422,9
vietnamese,2013-07-09 03:42:42.491842,423,15
french,2013-07-09 10:06:45.951996,424,12
german,2013-07-09 10:40:01.411536,425,5
mexican,2013-07-09 11:08:28.918218,426,8
mexican,2013-07-09 16:57:37.913780,427,10
vietnamese,2013-07-09 20:41:42.998906,428,11
chinese,2013-07-09 20:46:30.170566,429,5
mexican,2013-07-10 13:29:03.927141,430,6
french,2013-07-10 13:30:17.081102,431,12
chinese,2013-07-10 21:06:41.643331,432,14
chinese,2013-07-11 19:27:20.288594,433,6
german,2013-07-12 03:45:14.165234,434,14
french,2013-07-12 05:00:35.409653,435,5
japanese,2013-07-12 07:22:49.581340,436,6
chinese,2013-07-12 12:20:27.437129,437,9
mexican,2013-07-12 15:29:28.228585,438,5
german,2013-07-12 15:44:26.021808,439,14
vietnamese,2013-07-12 15:52:51.062644,440,11
mexican,2013-07-12 16:34:31.446517,441,6
french,2013-07-12 17:05:51.970600,442,15
mexican,2013-07-12 19:46:59.006939,443,13
italian,2013-07-12 19:55:42.320995,444,13
german,2013-07-12 20:00:54.741359,445,15
italian,2013-07-12 20:18:25.023300,446,5
german,2013-07-13 00:01:28.970186,447,14
german,2013-07-13 01:39:01.945759,448,14
mexican,2013-07-13 02:03:26.339532,449,5
japanese,2013-07-13 05:46:44.984924,450,14
japanese,2013-07-13 07:58:53.204482,451,6
chinese,2013-07-13 08:56:17.540937,452,14
chinese,2013-07-13 13:02:40.578060,453,9
chinese,2013-07-13 13:23:33.469926,454,10
vietnamese,2013-07-13 13:34:17.536711,455,5
italian,2013-07-14 08:02:19.182812,456,5
french,2013-07-14 13:40:31.100693,457,6
japanese,2013-07-14 13:50:51.343030,458,13
italian,2013-07-14 21:24:14.049348,459,15
french,2013-07-14 23:31:23.135793,460,5
chinese,2013-07-14 23:48:03.179984,461,9
japanese,2013-07-15 00:29:13.698623,462,5
chinese,2013-07-15 00:52:51.385039,463,15
japanese,2013-07-15 01:23:38.700750,464,14
german,2013-07-15 03:07:29.622271,465,13
japanese,2013-07-15 03:24:05.288287,466,11
italian,2013-07-15 10:59:41.923458,467,13
french,2013-07-15 13:10:11.067185,468,11
vietnamese,2013-07-15 13:28:37.374606,469,14
german,2013-07-15 17:33:02.100365,470,15
vietnamese,2013-07-15 18:59:47.854664,471,10
japanese,2013-07-15 21:35:20.712715,472,9
french,2013-07-15 23:17:59.240950,473,11
french,2013-07-16 00:02:21.316024,474,6
german,2013-07-16 01:14:06.980879,475,5
chinese,2013-07-16 08:22:47.769278,476,14
japanese,2013-07-16 14:02:33.199920,477,8
mexican,2013-07-16 17:01:40.526894,478,11
japanese,2013-07-16 18:16:30.048810,479,12
mexican,2013-07-16 18:54:48.209789,480,14
italian,2013-07-16 22:11:11.889426,481,14
vietnamese,2013-07-16 22:12:04.112971,482,15
mexican,2013-07-16 22:36:47.990272,483,9
italian,2013-07-16 22:48:48.107921,484,7
italian,2013-07-16 23:33:02.625819,485,11
german,2013-07-17 01:52:05.542250,486,7
vietnamese,2013-07-17 03:48:14.546101,487,11
japanese,2013-07-17 07:37:11.541366,488,15
german,2013-07-18 02:09:25.036039,489,9
japanese,2013-07-18 03:59:58.550185,490,8
mexican,2013-07-18 06:02:03.603860,491,13
chinese,2013-07-18 06:15:30.349922,492,10
german,2013-07-18 12:28:38.595791,493,6
vietnamese,2013-07-18 13:26:00.325250,494,13
vietnamese,2013-07-18 15:16:42.174927,495,11
french,2013-07-18 19:06:13.673277,496,15
french,2013-07-18 19:21:51.435929,497,6
chinese,2013-07-18 20:05:18.175445,498,11
vietnamese,2013-07-18 21:38:23.786306,499,11
german,2013-07-18 22:08:20.789428,500,6
vietnamese,2013-07-18 22:31:22.842193,501,7
vietnamese,2013-07-19 02:34:24.096994,502,6
german,2013-07-19 04:15:02.687675,503,7
chinese,2013-07-19 04:16:21.518127,504,7
french,2013-07-19 05:13:42.649805,505,11
italian,2013-07-19 05:27:06.514302,506,8
mexican,2013-07-19 10:40:00.677077,507,10
vietnamese,2013-07-19 11:02:08.538047,508,11
german,2013-07-19 12:26:57.725516,509,14
german,2013-07-19 15:21:27.134967,510,15
french,2013-07-19 18:37:47.474634,511,14
vietnamese,2013-07-19 19:39:09.302223,512,13
italian,2013-07-20 00:56:55.629728,513,5
french,2013-07-20 03:20:42.445468,514,14
french,2013-07-20 03:47:47.967136,515,9
japanese,2013-07-20 06:39:22.948923,516,15
chinese,2013-07-20 10:41:52.422989,517,6
vietnamese,2013-07-20 11:44:46.683217,518,14
italian,2013-07-20 13:04:11.016121,519,14
vietnamese,2013-07-20 13:10:31.874129,520,14
chinese,2013-07-20 14:12:22.932738,521,10
french,2013-07-20 16:24:52.178511,522,6
mexican,2013-07-20 18:14:57.777240,523,15
mexican,2013-07-20 20:03:16.945403,524,11
vietnamese,2013-07-20 23:06:36.268117,525,9
chinese,2013-07-21 02:01:12.614525,526,13
chinese,2013-07-21 02:19:07.891259,527,8
french,2013-07-21 03:53:09.644702,528,15
french,2013-07-21 05:14:29.805602,529,5
mexican,2013-07-21 09:32:09.437391,530,10
german,2013-07-21 09:57:23.105798,531,13
japanese,2013-07-21 12:19:44.100154,532,9
french,2013-07-21 13:16:31.090423,533,14
japanese,2013-07-21 15:14:06.057787,534,10
italian,2013-07-21 18:19:25.447765,535,9
vietnamese,2013-07-21 18:28:25.810634,536,8
vietnamese,2013-07-21 20:33:12.313009,537,5
mexican,2013-07-21 23:13:21.066592,538,14
italian,2013-07-22 03:48:23.742302,539,14
mexican,2013-07-22 04:52:35.789354,540,6
mexican,2013-07-22 06:17:59.203950,541,6
vietnamese,2013-07-22 14:54:30.519910,542,7
chinese,2013-07-22 18:23:59.576519,543,9
mexican,2013-07-23 11:54:41.874815,544,5
vietnamese,2013-07-23 11:58:59.315843,545,15
vietnamese,2013-07-23 12:55:37.357016,546,9
vietnamese,2013-07-23 22:25:18.360705,547,13
french,2013-07-24 00:50:26.519968,548,6
french,2013-07-24 00:52:47.250204,549,10
mexican,2013-07-24 04:12:51.941510,550,15
japanese,2013-07-24 06:36:31.801592,551,10
french,2013-07-24 08:50:48.825579,552,11
italian,2013-07-24 09:12:35.998937,553,14
vietnamese,2013-07-24 13:32:40.163803,554,6
italian,2013-07-24 15:10:33.740990,555,10
italian,2013-07-24 21:55:35.744540,556,11
chinese,2013-07-25 02:46:07.514240,557,10
vietnamese,2013-07-25 04:41:58.092844,558,9
german,2013-07-25 09:14:12.602848,559,6
japanese,2013-07-25 10:29:43.480222,560,12
italian,2013-07-25 11:20:44.212465,561,11
japanese,2013-07-25 12:16:52.531344,562,12
chinese,2013-07-25 18:08:34.450294,563,12
japanese,2013-07-25 20:01:14.455993,564,7
chinese,2013-07-27 00:10:48.855093,565,6
mexican,2013-07-27 00:28:37.197460,566,9
chinese,2013-07-27 01:13:20.473115,567,15
mexican,2013-07-27 01:52:53.041449,568,6
mexican,2013-07-27 02:15:41.337603,569,7
vietnamese,2013-07-27 09:48:44.925124,570,10
french,2013-07-27 15:56:11.162415,571,5
japanese,2013-07-27 23:05:29.093149,572,13
french,2013-07-28 00:14:55.690421,573,6
chinese,2013-07-28 00:28:59.110174,574,5
vietnamese,2013-07-28 02:34:33.397132,575,11
mexican,2013-07-28 04:40:05.871338,576,14
italian,2013-07-28 06:49:03.479924,577,15
mexican,2013-07-28 07:19:06.997774,578,15
vietnamese,2013-07-28 11:02:01.736144,579,11
chinese,2013-07-28 14:20:08.336343,580,6
italian,2013-07-28 18:14:34.111568,581,14
italian,2013-07-28 18:30:38.525836,582,6
italian,2013-07-28 21:03:06.233467,583,7
mexican,2013-07-28 21:08:40.638856,584,10
mexican,2013-07-28 22:29:36.775717,585,7
chinese,2013-07-28 23:50:25.181765,586,7
chinese,2013-07-29 00:08:22.900594,587,14
mexican,2013-07-29 02:33:18.521432,588,14
mexican,2013-07-29 05:45:28.391321,589,5
chinese,2013-07-29 05:45:55.519714,590,9
vietnamese,2013-07-29 07:15:08.662703,591,12
